,PRICE,PRICE,PRICE,PRICE,EMA,ema_period
,open,high,low,close,,
Timestamp,,,,,,
2023-05-19 14:30:00,1811.2471581451,1830.2682804284,1803.6177088503,1821.0520871855,1813.9404929675852,25
2023-05-19 18:00:00,1821.2049385822,1821.2049385822,1809.4119659776,1813.5446125823,1813.9100406302557,25
2023-05-19 21:30:00,1812.9717938668,1814.2029328888,1810.213957495,1810.213957495,1813.6257265429283,25
2023-05-20 01:00:00,1810.0785047593,1813.1436720771,1810.0785047593,1812.6997283329,1813.5544959113877,25
2023-05-20 04:30:00,1812.6214894677,1812.9166596086,1811.3501184993,1811.510465058,1813.3972627688195,25
2023-05-20 08:00:00,1811.5759674325,1814.8692188033,1811.5759674325,1814.2718424822,1813.4645381313874,25
2023-05-20 11:30:00,1814.2720807006,1818.3642889746,1814.2718424822,1818.3642889746,1813.8414420424037,25
2023-05-20 15:00:00,1818.4489534146,1827.1457194001,1816.5936614036,1826.6413801075,1814.8260526627957,25
2023-05-20 18:30:00,1826.6413801075,1826.641878411,1815.4633863153,1817.9794110787,1815.0686186947883,25
2023-05-20 22:00:00,1818.0594853199,1827.3526933384,1818.0594853199,1822.2158255325,1815.618403836151,25
2023-05-21 01:30:00,1822.143205836,1822.143205836,1818.5722540684,1818.5723158723,1815.8456278389317,25
2023-05-21 05:00:00,1818.67314235,1818.67314235,1816.4070815219,1816.4070815219,1815.8888165837755,25
2023-05-21 08:30:00,1816.4092574173,1816.4092574173,1809.3621539625,1811.2586520025,1815.5326500775236,25
2023-05-21 12:00:00,1811.2586520025,1817.2566234286,1811.2586520025,1816.0234898965,1815.5704069866756,25
2023-05-21 15:30:00,1816.0234898965,1816.0234898965,1805.7367884048,1808.0311458834,1814.9904638248852,25
2023-05-21 19:00:00,1808.0024198916,1811.1388085121,1800.3704522847,1804.0323172851,1814.147529475671,25
2023-05-21 22:30:00,1804.2187096631,1806.849435305,1795.3589150022,1795.3589863428,1812.7022569269889,25
2023-05-22 02:00:00,1795.3589863428,1803.6959141467,1794.6824883497,1803.6959141467,1812.009461328505,25
2023-05-22 05:30:00,1803.7964034914,1816.5435541064,1803.7964034914,1814.1270829965,1812.1723553029665,25
2023-05-22 09:00:00,1814.2562810009,1819.1169740856,1814.2562810009,1814.9928656657,1812.3893176385614,25
2023-05-22 12:30:00,1815.1205069009,1827.0203287321,1811.1392350259,1817.6384714163,1812.7930986983877,25
2023-05-22 16:00:00,1817.6591413236,1822.5854323779,1815.9566724978,1818.2339141379,1813.2116229629657,25
2023-05-22 19:30:00,1818.2339141379,1823.939373062,1815.9987642212,1821.126471001,1813.82045742743,25
2023-05-22 23:00:00,1820.8870797723,1841.2276168757,1817.9712666619,1839.2424119667,1815.7759923919893,25
2023-05-23 02:30:00,1839.2424119667,1868.4126532891,1839.2424119667,1859.3503247166,1819.1278641092672,25
2023-05-23 06:00:00,1859.3503247166,1860.9387430059,1848.6681658851,1855.9849455495,1821.9630242200544,25
2023-05-23 09:30:00,1855.8183118846,1856.8372278005,1850.9830304042,1852.0369089597,1824.276399969258,25
2023-05-23 13:00:00,1852.2070917433,1858.5185779977,1844.4608826671,1855.0362451647,1826.642541907369,25
2023-05-23 16:30:00,1854.7958270596,1854.7958270596,1844.026391475,1852.3140408037,1828.6172725917022,25
2023-05-23 20:00:00,1852.6118674625,1856.3144127643,1848.7183748311,1855.6631505223,1830.6977247402099,25
2023-05-23 23:30:00,1855.4214274176,1855.4214274176,1846.3054028256,1846.6748885219,1831.9267373388016,25
2023-05-24 03:00:00,1846.7276312562,1846.7276312562,1814.6849930335,1822.4021711558,1831.1940784016476,25
2023-05-24 06:30:00,1822.4021711558,1823.9396460162,1816.200775667,1818.4889782939,1830.216763008744,25
2023-05-24 10:00:00,1818.4891552928,1818.4893323545,1813.7441525774,1816.0528700753,1829.1272327830948,25
2023-05-24 13:30:00,1816.0528700753,1816.0528700753,1780.6595372051,1788.4389449795,1825.9973644905108,25
2023-05-24 17:00:00,1788.5297994997,1803.7319821196,1788.1978763176,1803.7319821196,1824.2846427696716,25
2023-05-24 20:30:00,1804.0443293814,1808.8376978615,1796.5397231221,1801.9986077851,1822.570332386243,25
2023-05-25 00:00:00,1802.1316787601,1807.8962286931,1766.1888532158,1779.839970672,1819.2833814851476,25
2023-05-25 03:30:00,1780.0379528468,1787.3701290214,1777.2508354983,1785.751982574,1816.704043107367,25
2023-05-25 07:00:00,1785.751982574,1787.0472751513,1780.5437896626,1787.014176616,1814.4202072234157,25
2023-05-25 10:30:00,1787.014176616,1810.6436837301,1785.001560675,1799.7304887236,1813.2902288772761,25
2023-05-25 14:00:00,1799.9886060818,1802.1526542746,1789.7645417242,1800.3023736342,1812.2911630893473,25
2023-05-25 17:30:00,1800.4330189625,1817.4815220248,1800.4330189625,1811.4400832154,1812.2256954067361,25
2023-05-25 21:00:00,1811.530347122,1811.8835341794,1807.0681565709,1807.7216542863,1811.8792307051642,25
2023-05-26 00:30:00,1807.7216542863,1808.3405759456,1800.0634551242,1807.3043716427,1811.5273184695902,25
2023-05-26 04:00:00,1807.3043716427,1811.4129973431,1805.0936764518,1811.3824709742,1811.5161763545602,25
2023-05-26 07:30:00,1811.3825973138,1818.0867080298,1811.3825973138,1813.6028831683,1811.6766922633096,25
2023-05-26 11:00:00,1813.7040912916,1834.4636612753,1811.7592641298,1832.2882807267,1813.262199068186,25
2023-05-26 14:30:00,1832.4985081457,1836.5427468315,1825.4166532582,1825.4166532582,1814.1971570828025,25
2023-05-26 18:00:00,1825.2748712031,1836.4493627788,1825.2748712031,1834.2865069675,1815.7424916893178,25
2023-05-26 21:30:00,1834.1526780475,1834.5236482263,1828.1574919785,1828.1574919785,1816.6974917115626,25
2023-05-27 01:00:00,1828.1574919785,1836.4358909631,1828.1574919785,1834.5156321781,1818.0681179012965,25
2023-05-27 04:30:00,1834.6514444763,1834.7457353469,1831.7614378192,1831.7614378192,1819.1214502026737,25
2023-05-27 08:00:00,1831.7614378192,1831.7614378192,1826.3098353599,1826.3098353599,1819.674402907076,25
2023-05-27 11:30:00,1826.4178013984,1830.9575751721,1816.353179771,1824.5896224253,1820.05249671617,25
2023-05-27 15:00:00,1824.5896224253,1824.5899039007,1820.6076842571,1824.3386783539,1820.3822029959956,25
2023-05-27 18:30:00,1824.6940913573,1827.821922462,1823.1096741703,1826.6250872154,1820.8624248590268,25
2023-05-27 22:00:00,1826.6568297691,1857.4237768783,1825.2875753364,1851.0158937335,1823.1819224647554,25
2023-05-28 01:30:00,1851.0950670682,1855.9534648917,1847.8860783817,1851.76436596,1825.3805719643897,25
2023-05-28 05:00:00,1851.7477188664,1851.7477188664,1846.7977341114,1846.7977341114,1827.0280459756982,25
2023-05-28 08:30:00,1846.7977341114,1849.1943759484,1845.4304608509,1845.9146283125,1828.4808600016063,25
2023-05-28 12:00:00,1845.822079296,1845.9111661641,1839.7511255546,1843.0317826472,1829.6001617435752,25
2023-05-28 15:30:00,1843.0481640031,1856.4926946606,1841.8362759111,1852.5285426482,1831.3638833516234,25
2023-05-28 19:00:00,1852.2108219953,1913.931735109,1847.8721201237,1906.403050133,1837.136126950191,25
2023-05-28 22:30:00,1905.682980051,1923.6428871103,1902.3845425643,1914.2243415237,1843.065989609692,25
2023-05-29 02:00:00,1914.7250931518,1915.3550806167,1894.8281124355,1902.0299029276,1847.6016752495311,25
2023-05-29 05:30:00,1902.0299029276,1902.6773520382,1894.8014191242,1899.0097069659,1851.5561392277134,25
2023-05-29 09:00:00,1898.6846229799,1904.9172418662,1893.9377013428,1901.0014467058,1855.3596244183354,25
2023-05-29 12:30:00,1900.8927095129,1900.8927095129,1888.0231356181,1888.0231356181,1857.8722022029326,25
2023-05-29 16:00:00,1888.6757529554,1892.7495204374,1875.6219331892,1892.4999601102,1860.535875888107,25
2023-05-29 19:30:00,1892.5004672622,1892.8159348715,1887.6568684322,1890.5547942368,1862.8450234533911,25
2023-05-29 23:00:00,1890.2218485481,1899.8313414593,1882.6974356632,1896.1723192857,1865.408661594338,25
2023-05-30 02:30:00,1896.1723192857,1908.6879414504,1892.4560985432,1896.802017448,1867.8235351215426,25
2023-05-30 06:00:00,1896.802017448,1905.6310836791,1896.802017448,1905.6310836791,1870.7318080875086,25
2023-05-30 09:30:00,1905.6310836791,1913.9278232537,1904.4499535984,1908.4194740857,1873.6308593181388,25
2023-05-30 13:00:00,1907.9182221216,1911.6005128638,1892.3182882949,1898.6082509059,1875.552197132582,25
2023-05-30 16:30:00,1898.6082509059,1909.2449990492,1898.6082509059,1906.1227249713,1877.903776197099,25
2023-05-30 20:00:00,1906.5210921619,1912.0678019843,1898.9487843226,1898.9487843226,1879.5226229759837,25
2023-05-30 23:30:00,1898.9487843226,1904.3683067902,1884.957688126,1893.1746994228,1880.572782702662,25
2023-05-31 03:00:00,1893.43347394,1896.145829677,1861.1329279736,1865.2837404039,1879.3967025258341,25
2023-05-31 06:30:00,1865.4125867988,1871.7558805521,1865.4125867988,1869.6237182006,1878.6449345008161,25
2023-05-31 10:00:00,1869.7016769884,1870.8039112071,1865.3393757664,1870.8039112071,1878.041778862838,25
2023-05-31 13:30:00,1870.830565103,1873.760257001,1851.9446710785,1858.9488893399,1876.5730950533814,25
2023-05-31 17:00:00,1859.1349331286,1867.443150609,1858.9568479362,1867.0547183388,1875.840912229183,25
2023-05-31 20:30:00,1867.0799979199,1877.1956369366,1863.010746152,1874.1406813876,1875.710125241369,25
2023-06-01 00:00:00,1874.2359582943,1886.3457410153,1843.4220955188,1855.0057008939,1874.1174772146408,25
2023-06-01 03:30:00,1855.2126299179,1856.890837374,1854.6460521748,1855.1845230723,1872.6610961267684,25
2023-06-01 07:00:00,1855.1845230723,1864.4786320358,1853.1415988385,1861.6070890458,1871.8107878897708,25
2023-06-01 10:30:00,1861.6070890458,1865.3284688121,1859.5526970346,1862.3165238556,1871.0804598871423,25
2023-06-01 14:00:00,1862.6778421419,1881.5504439453,1858.1092754176,1876.1236044562,1871.4683940847622,25
2023-06-01 17:30:00,1875.6822286422,1876.1971650585,1858.8908802318,1869.8247697146,1871.3419614409036,25
2023-06-01 21:00:00,1869.7274367261,1871.4618499961,1855.4156625288,1859.3915874323,1870.4227019017803,25
2023-06-02 00:30:00,1859.5294650582,1878.826674815,1850.8811341519,1878.0024665955,1871.0057607243743,25
2023-06-02 04:00:00,1878.2114891202,1895.0089581719,1877.5253470331,1889.3633202646,1872.4178806890072,25
2023-06-02 07:30:00,1889.3323946081,1892.6151109899,1887.4777162907,1889.9215822569,1873.7643192711528,25
2023-06-02 11:00:00,1890.0465934357,1898.8496592342,1877.8014136265,1882.5328904875,1874.4388247493334,25
2023-06-02 14:30:00,1882.9287698733,1892.2863924839,1882.9287698733,1891.7420014416,1875.7698383410464,25
2023-06-02 18:00:00,1891.9955465088,1909.0891889525,1891.7565465622,1904.2260874942,1877.9587805835968,25
2023-06-02 21:30:00,1904.065687795,1906.1598338315,1902.4384409718,1902.5695810446,1879.851919080597,25
2023-06-03 01:00:00,1902.876984996,1903.3320530948,1897.6055545659,1899.5144102653,1881.3644184024974,25
